time_sec, foot_right_relative_x, foot_right_relative_y, foot_right_relative_z, root_roll_relative,  root_pitch_relative, root_yaw_relative, root_relative_x, root_relative_y, root_relative_z
0.018737, -98.451172, -0.585938, 0.001953, 0.000003, -0.000001, 0.939066, 14.216797, -46.28125, 66.072266
0.418737, 100.384766, -90.693359, -34.019531, 0.025932, 0.561622, -0.820968, 130.617188, -86.033203, -46.335938
0.433893, -5.664063, -46.789063, 72.746094, -0.042355, -0.115279, -0.989279, 28.378906, -60.730469, 65.878906
0.447527, 13.697266, -6.607422, 28.242188, -0.051811, -0.220942, -0.971161, 47.744141, -21.753906, 24.337891
0.457052, 0.542969, 4.285156, 31.554688, -0.040233, -0.177381, -0.981408, 34.339844, -11.261719, 26.976563
0.467823, 0.617188, 4.822266, 31.609375, -0.037332, -0.176202, -0.982204, 34.238281, -11.1875, 27.1875
0.478974, 0.679688, 5.271484, 31.607422, -0.034933, -0.175354, -0.982832, 34.128906, -11.099609, 27.333984
0.489626, 0.917969, 5.541016, 31.115234, -0.033941, -0.175684, -0.983095, 34.203125, -11.228516, 26.966797
0.501293, 0.988281, 5.958984, 31.150391, -0.033043, -0.175246, -0.98345, 34.121094, -11.164063, 27.101563
0.512043, 1.027344, 6.263672, 31.244141, -0.032807, -0.174719, -0.983725, 34.027344, -11.111328, 27.244141
0.523426, 1.226563, 6.408203, 30.845703, -0.032926, -0.174428, -0.983901, 34.105469, -11.21875, 26.841797
0.53543, 1.257813, 6.689453, 30.970703, -0.033306, -0.173999, -0.984052, 34.011719, -11.177734, 26.935547
0.545807, 1.273438, 6.859375, 31.150391, -0.033204, -0.17288, -0.984307, 33.917969, -11.169922, 27.044922
0.557378, 1.425781, 6.880859, 30.849609, -0.032997, -0.171186, -0.984646, 33.972656, -11.296875, 26.634766
0.568127, 1.4375, 7.041016, 31.027344, -0.03275, -0.168789, -0.985091, 33.886719, -11.296875, 26.710938
0.578923, 1.441406, 7.132813, 31.21875, 0.032397, 0.16477, 0.985795, 33.808594, -11.316406, 26.806641
0.59007, 1.570313, 7.126953, 30.902344, 0.031591, 0.159386, 0.986711, 33.867188, -11.453125, 26.425781
0.601912, 1.539063, 7.236328, 31.019531, 0.029881, 0.151495, 0.988003, 33.773438, -11.439453, 26.472656
0.612835, 1.496094, 7.283203, 31.191406, 0.027642, 0.143066, 0.989314, 33.714844, -11.455078, 26.552734
0.623377, 1.609375, 7.234375, 30.896484, 0.024821, 0.133952, 0.990649, 33.773438, -11.650391, 26.201172
0.63499, 1.585938, 7.265625, 31.027344, 0.020846, 0.122863, 0.992156, 33.691406, -11.693359, 26.248047
0.645965, 1.5625, 7.316406, 31.212891, 0.01712, 0.112477, 0.993434, 33.605469, -11.695313, 26.287109
0.657545, 1.679688, 7.21875, 30.865234, 0.013018, 0.10234, 0.994566, 33.6875, -11.833984, 25.835938
0.668216, 1.625, 7.199219, 31.046875, 0.009697, 0.093113, 0.995495, 33.605469, -11.839844, 25.878906
0.679656, 1.582031, 7.207031, 31.255859, 0.006757, 0.084068, 0.996309, 33.523438, -11.810547, 25.917969
0.690702, 1.652344, 7.097656, 30.955078, 0.004178, 0.07666, 0.996906, 33.585938, -11.892578, 25.509766
0.701877, 1.550781, 7.070313, 31.119141, 0.002795, 0.070216, 0.997374, 33.519531, -11.837891, 25.564453
0.712911, 1.433594, 7.050781, 31.292969, 0.001814, 0.064459, 0.99775, 33.441406, -11.751953, 25.634766
0.724022, 1.46875, 6.939453, 30.986328, 0.001126, 0.059862, 0.99802, 33.527344, -11.769531, 25.265625
0.746532, 1.246094, 6.800781, 31.300781, 0.000736, 0.051455, 0.998483, 33.398438, -11.636719, 25.423828
0.768952, 1.1875, 6.486328, 31.152344, -0.001292, 0.04454, 0.998877, 33.421875, -11.679688, 25.15625
0.801882, 1.089844, 5.841797, 31.162109, -0.00678, 0.035158, 0.999331, 33.410156, -11.753906, 24.898438
0.824666, 0.914063, 5.308594, 31.322266, -0.010841, 0.032852, 0.999388, 33.367188, -11.775391, 24.832031
0.847027, 0.628906, 4.880859, 31.660156, -0.016395, 0.029711, 0.999413, 33.222656, -11.714844, 25.005859
0.869611, 0.546875, 4.365234, 31.533203, -0.021886, 0.024656, 0.999454, 33.242188, -11.822266, 24.699219
0.902803, 0.40625, 3.644531, 31.494141, 0.024481, -0.018134, -0.999514, 33.210938, -12.0, 24.412109
0.925833, 0.121094, 3.363281, 31.433594, 0.024701, -0.01872, -0.999414, 33.085938, -11.855469, 24.248047
0.947437, -0.253906, 3.130859, 31.699219, 0.024439, -0.018904, -0.999297, 32.851563, -11.679688, 24.398438
0.969296, -0.455078, 2.777344, 31.507813, 0.02433, -0.018577, -0.999144, 32.779297, -11.666016, 24.101563
1.003679, -0.712891, 2.220703, 31.423828, 0.0226, -0.017945, -0.998912, 32.666016, -11.757813, 23.873047
1.026826, -1.255859, 1.730469, 31.433594, 0.020222, -0.017595, -0.998459, 32.40625, -11.453125, 23.691406
1.049517, -1.728516, 0.777344, 32.005859, 0.018196, -0.008865, -0.997949, 32.1875, -11.441406, 23.857422
1.072664, -1.789063, -0.269531, 32.162109, 0.016111, -0.001071, -0.997554, 32.220703, -11.914063, 23.591797
1.09478, -1.902344, -1.324219, 32.179688, 0.013572, 0.007021, -0.996868, 32.353516, -11.851563, 23.705078
1.127672, -2.117188, -2.484375, 32.634766, 0.010731, 0.01555, -0.995739, 32.283203, -12.078125, 23.703125
1.150101, -2.216797, -3.582031, 32.675781, 0.006881, 0.023905, -0.994723, 32.277344, -12.335938, 23.279297
1.172932, -2.119141, -4.421875, 32.591797, 0.00398, 0.029145, -0.993954, 32.433594, -12.617188, 22.853516
1.19518, -1.984375, -5.25, 32.552734, 0.001866, 0.035362, -0.993188, 32.552734, -12.902344, 22.496094
1.228932, -1.896484, -6.167969, 32.8125, 0.000716, 0.040277, -0.992196, 32.636719, -13.171875, 22.425781
1.250321, -1.634766, -7.101563, 32.564453, -0.001155, 0.04845, -0.991199, 32.861328, -13.53125, 21.759766
1.272935, -1.585938, -7.316406, 32.458984, -0.00196, 0.046352, -0.991038, 32.882813, -13.605469, 21.533203
1.296215, -1.585938, -7.257813, 32.304688, -0.003493, 0.04029, -0.99103, 32.876953, -13.488281, 21.294922
1.328608, -1.611328, -6.78125, 32.132813, -0.005221, 0.028416, -0.991265, 32.859375, -13.152344, 21.195313
1.351424, -1.763672, -5.761719, 31.773438, -0.008041, 0.01157, -0.991458, 32.728516, -12.390625, 20.988281
1.37307, -1.822266, -5.152344, 31.572266, -0.008245, 0.000769, -0.991597, 32.662109, -12.070313, 20.945313
1.395912, -1.816406, -4.769531, 31.521484, -0.008298, -0.007248, -0.991336, 32.664063, -11.730469, 20.951172
1.418907, -1.964844, -4.347656, 31.951172, -0.007795, -0.013599, -0.991078, 32.503906, -11.390625, 21.390625
1.452943, -1.851563, -4.226563, 31.496094, -0.006582, -0.018992, -0.990927, 32.613281, -11.339844, 20.943359
1.474527, -1.955078, -3.980469, 31.568359, -0.007635, -0.022604, -0.990661, 32.521484, -11.046875, 20.972656
1.497135, -1.984375, -3.804688, 31.693359, -0.008723, -0.024921, -0.990546, 32.482422, -10.890625, 21.060547
1.519621, -2.169922, -3.53125, 32.115234, -0.009838, -0.026495, -0.990545, 32.28125, -10.671875, 21.492188
1.553681, -2.058594, -3.199219, 31.826172, -0.011075, -0.028871, -0.990731, 32.361328, -10.570313, 21.205078
1.575563, -2.089844, -2.910156, 31.876953, -0.011148, -0.030923, -0.990904, 32.316406, -10.476563, 21.271484
1.598239, -2.087891, -2.6875, 31.779297, -0.010438, -0.032159, -0.99116, 32.308594, -10.425781, 21.238281
1.619881, -2.267578, -2.417969, 32.193359, -0.009669, -0.033306, -0.991387, 32.126953, -10.246094, 21.720703
1.65349, -2.142578, -2.199219, 31.771484, -0.008267, -0.035391, -0.991707, 32.232422, -10.28125, 21.326172
1.676181, -2.185547, -1.957031, 31.759766, -0.008371, -0.037712, -0.991761, 32.191406, -10.140625, 21.318359
1.698149, -2.199219, -1.800781, 31.611328, -0.008626, -0.039357, -0.991776, 32.208984, -10.019531, 21.216797
1.720495, -2.371094, -1.640625, 32.048828, -0.008588, -0.040409, -0.991805, 32.044922, -9.84375, 21.681641
1.753631, -2.203125, -1.730469, 31.412109, -0.008665, -0.042388, -0.99153, 32.210938, -9.871094, 21.041016
1.775642, -2.162109, -1.773438, 31.4375, -0.009488, -0.044298, -0.991161, 32.257813, -9.828125, 21.064453
1.799009, -2.179688, -1.800781, 31.558594, -0.010264, -0.047264, -0.990782, 32.251953, -9.757813, 21.169922
1.820555, -2.230469, -1.765625, 31.736328, -0.011078, -0.050169, -0.990401, 32.208984, -9.648438, 21.335938
1.854161, -2.271484, -1.78125, 31.863281, -0.011664, -0.053262, -0.989869, 32.166016, -9.597656, 21.433594
1.876492, -2.310547, -1.8125, 32.066406, -0.011702, -0.053721, -0.989687, 32.119141, -9.59375, 21.578125
1.898764, -2.373047, -1.894531, 32.191406, -0.011642, -0.053196, -0.989587, 32.076172, -9.597656, 21.716797
1.921061, -2.40625, -1.9375, 32.365234, -0.011606, -0.052259, -0.989545, 32.03125, -9.597656, 21.841797
1.95463, -2.425781, -2.019531, 32.494141, -0.011372, -0.051057, -0.989549, 32.019531, -9.636719, 21.933594
1.976884, -2.488281, -2.089844, 32.644531, -0.011293, -0.050063, -0.98957, 31.960938, -9.65625, 22.03125
1.99944, -2.519531, -2.058594, 32.876953, -0.011248, -0.049326, -0.989565, 31.923828, -9.632813, 22.214844
2.02202, -2.546875, -2.003906, 33.060547, -0.011131, -0.048878, -0.989576, 31.861328, -9.621094, 22.332031
2.044169, -2.576172, -1.945313, 33.275391, -0.010936, -0.048554, -0.989602, 31.814453, -9.605469, 22.501953
2.078374, -2.630859, -1.921875, 33.421875, -0.010951, -0.047973, -0.989715, 31.773438, -9.582031, 22.677734
2.100768, -2.693359, -1.851563, 33.666016, -0.0107, -0.047954, -0.989815, 31.695313, -9.539063, 22.927734
2.122608, -2.740234, -1.796875, 33.921875, -0.010233, -0.047044, -0.989939, 31.644531, -9.511719, 23.167969
2.145229, -2.757813, -1.804688, 34.119141, -0.009682, -0.045861, -0.990108, 31.619141, -9.542969, 23.337891
2.178459, -2.755859, -1.890625, 34.363281, -0.008879, -0.043865, -0.990279, 31.597656, -9.609375, 23.554688
2.201352, -2.785156, -2.054688, 34.761719, -0.007653, -0.04115, -0.990485, 31.572266, -9.746094, 23.964844
2.223572, -1.378906, -3.167969, 30.267578, -0.006655, -0.039659, -0.990694, 32.955078, -10.925781, 19.46875
2.246014, -1.326172, -3.441406, 30.458984, -0.005299, -0.035691, -0.990951, 32.992188, -11.203125, 19.615234
2.279745, -1.699219, -3.445313, 32.046875, -0.004006, -0.031456, -0.991117, 32.640625, -11.117188, 21.205078
2.301834, -1.777344, -3.738281, 32.824219, -0.001034, -0.02673, -0.991617, 32.574219, -11.480469, 22.074219
2.323449, -1.890625, -3.855469, 33.533203, 0.001171, -0.024035, -0.991958, 32.46875, -11.6875, 22.851563
2.345855, -1.875, -4.039063, 33.751953, 0.003352, -0.022107, -0.992315, 32.486328, -11.992188, 23.144531
2.379217, -1.832031, -4.140625, 34.210938, 0.005424, -0.019773, -0.992643, 32.482422, -12.265625, 23.613281
2.402083, -1.742188, -4.386719, 34.466797, 0.008713, -0.016497, -0.993255, 32.550781, -12.789063, 24.007813
2.424333, 0.369141, -5.371094, 28.582031, 0.0116, -0.01432, -0.993934, 34.611328, -14.117188, 18.25
2.446976, 0.507813, -5.421875, 28.626953, 0.013171, -0.013402, -0.994196, 34.710938, -14.320313, 18.324219
2.469643, 0.818359, -5.703125, 27.984375, 0.014197, -0.011178, -0.994331, 35.03125, -14.597656, 17.712891
2.503021, 0.578125, -5.78125, 28.996094, 0.015524, -0.007789, -0.994378, 34.785156, -14.679688, 18.652344
2.525104, 0.580078, -6.027344, 29.6875, 0.017616, -0.002588, -0.994655, 34.775391, -14.992188, 19.314453
2.547356, 0.6875, -6.210938, 29.810547, 0.018902, 0.000966, -0.994758, 34.882813, -15.207031, 19.396484
2.569701, 0.65625, -6.355469, 30.289063, 0.020239, 0.004369, -0.994832, 34.855469, -15.359375, 19.853516
2.6028, 0.699219, -6.511719, 30.605469, 0.021329, 0.007415, -0.994901, 34.90625, -15.5, 20.171875
2.625424, 1.044922, -6.855469, 30.347656, 0.023111, 0.012186, -0.994984, 35.259766, -15.835938, 19.921875
2.647925, 1.158203, -7.09375, 30.564453, 0.024815, 0.01593, -0.994847, 35.390625, -15.980469, 20.085938
2.670271, 1.195313, -7.386719, 31.0625, 0.026625, 0.019774, -0.994766, 35.466797, -16.183594, 20.554688
2.703376, 1.271484, -7.421875, 31.412109, 0.027774, 0.01936, -0.994882, 35.527344, -16.332031, 20.914063
2.725663, 1.601563, -7.074219, 31.367188, 0.02823, 0.01327, -0.99555, 35.746094, -16.617188, 21.019531
2.748612, 1.744141, -6.816406, 31.357422, 0.028243, 0.007872, -0.995831, 35.818359, -16.695313, 21.029297
2.770442, 1.736328, -6.550781, 31.550781, 0.028325, 0.002704, -0.995897, 35.845703, -16.566406, 21.328125
2.803895, 1.761719, -6.320313, 31.617188, 0.028404, -0.002107, -0.996059, 35.820313, -16.515625, 21.494141
2.826257, 1.826172, -6.101563, 31.748047, 0.028647, -0.005134, -0.996199, 35.804688, -16.566406, 21.664063
2.848832, 1.880859, -6.074219, 31.826172, 0.028737, -0.005798, -0.996273, 35.806641, -16.632813, 21.671875
2.870911, 1.871094, -6.105469, 32.041016, 0.028518, -0.005307, -0.996348, 35.775391, -16.710938, 21.783203
2.904736, 1.873047, -6.246094, 32.160156, 0.028587, -0.003267, -0.996446, 35.765625, -16.882813, 21.791016
2.926736, 1.912109, -6.394531, 32.40625, 0.028735, -0.000359, -0.996541, 35.779297, -17.054688, 21.986328
2.949474, 1.962891, -6.558594, 32.542969, 0.029126, 0.001522, -0.996564, 35.837891, -17.15625, 22.128906
2.972113, 2.011719, -6.695313, 32.685547, 0.029303, 0.002094, -0.996533, 35.869141, -17.289063, 22.220703
2.994111, 2.021484, -6.84375, 32.875, 0.029227, 0.002042, -0.996493, 35.876953, -17.359375, 22.398438
3.027028, 2.001953, -6.949219, 33.029297, 0.029091, 0.000891, -0.996405, 35.890625, -17.386719, 22.583984
3.049704, 1.953125, -6.980469, 33.173828, 0.029058, -0.000146, -0.99636, 35.845703, -17.40625, 22.742188
3.072467, 1.90625, -7.046875, 33.240234, 0.02923, -0.000204, -0.996235, 35.833984, -17.351563, 22.880859
3.094863, 1.490234, -6.894531, 33.033203, 0.029276, 0.000318, -0.996166, 35.300781, -17.089844, 22.769531
3.128188, 2.253906, -4.253906, 31.880859, 0.024474, -0.046105, -0.995752, 35.988281, -15.796875, 22.806641
3.150499, 2.289063, -4.433594, 32.095703, 0.024912, -0.043267, -0.995918, 36.003906, -15.957031, 23.005859
3.172445, 2.316406, -4.617188, 32.169922, 0.0253, -0.041777, -0.995961, 36.015625, -16.082031, 23.039063
3.194988, 2.386719, -4.730469, 32.3125, 0.025393, -0.040496, -0.99605, 36.042969, -16.238281, 23.097656
3.228353, 2.414063, -4.867188, 32.568359, 0.025939, -0.038637, -0.996121, 36.042969, -16.375, 23.300781
3.250722, 2.5, -5.058594, 32.585938, 0.026049, -0.037454, -0.996204, 36.101563, -16.574219, 23.285156
3.273191, 2.488281, -5.128906, 32.722656, 0.026053, -0.037797, -0.996154, 36.085938, -16.628906, 23.392578
3.297134, 2.503906, -5.179688, 32.744141, 0.026162, -0.037608, -0.996192, 36.101563, -16.734375, 23.384766
3.328559, 2.511719, -5.15625, 32.814453, 0.026497, -0.036102, -0.996333, 36.089844, -16.804688, 23.421875
3.351275, 2.554688, -5.195313, 32.867188, 0.026911, -0.033731, -0.996514, 36.105469, -16.898438, 23.408203
3.373144, 2.550781, -5.191406, 32.958984, 0.027446, -0.032314, -0.996619, 36.082031, -16.945313, 23.476563
3.395938, 2.542969, -5.144531, 32.921875, 0.028255, -0.03222, -0.99664, 36.058594, -17.003906, 23.419922
3.429113, 2.535156, -5.070313, 32.882813, 0.028847, -0.033834, -0.996592, 36.007813, -17.019531, 23.332031
3.451922, 2.507813, -4.976563, 32.886719, 0.028815, -0.034976, -0.996593, 35.945313, -17.015625, 23.273438
3.474112, 2.449219, -4.835938, 32.917969, 0.029009, -0.035464, -0.996629, 35.847656, -16.976563, 23.242188
3.496064, 2.417969, -4.628906, 32.78125, 0.029113, -0.036839, -0.99663, 35.789063, -16.929688, 23.123047
3.529912, 2.386719, -4.339844, 32.617188, 0.029492, -0.039546, -0.996612, 35.691406, -16.847656, 22.9375
3.552716, 2.230469, -3.773438, 32.486328, 0.029731, -0.047012, -0.996367, 35.5, -16.546875, 22.953125
3.574967, 2.164063, -3.222656, 32.126953, 0.030144, -0.054876, -0.996046, 35.386719, -16.277344, 22.755859
3.597097, 2.074219, -2.515625, 31.707031, 0.030416, -0.064717, -0.99551, 35.238281, -15.90625, 22.556641
3.619671, 1.910156, -1.775391, 31.171875, 0.030332, -0.075338, -0.994736, 35.058594, -15.375, 22.3125
3.653484, 1.617188, -0.960938, 30.708984, 0.030068, -0.086363, -0.993812, 34.773438, -14.759766, 22.146484
3.675583, 1.164063, 0.005859, 29.929688, 0.029401, -0.100345, -0.992214, 34.419922, -13.794922, 21.732422
3.698023, 0.830078, 0.236328, 29.507813, 0.029554, -0.104802, -0.991379, 34.197266, -13.332031, 21.367188
3.720196, 0.449219, 0.318359, 29.376953, 0.029285, -0.106623, -0.990731, 33.933594, -12.910156, 21.121094
3.753337, 0.132813, 0.169922, 29.279297, 0.028822, -0.104529, -0.990462, 33.716797, -12.683594, 20.759766
3.775744, -0.349609, -0.546875, 29.486328, 0.026096, -0.090494, -0.990673, 33.478516, -12.265625, 20.253906
3.797936, -0.382813, -1.128906, 29.326172, 0.024643, -0.079796, -0.991324, 33.451172, -12.5, 19.666016
3.820109, -0.455078, -1.796875, 29.544922, 0.022079, -0.067967, -0.991536, 33.603516, -11.96875, 20.078125
3.853493, -0.458984, -2.628906, 29.810547, 0.019158, -0.055973, -0.991614, 33.623047, -12.074219, 19.832031
3.87614, -0.386719, -3.675781, 30.132813, 0.014843, -0.040052, -0.991622, 33.648438, -12.34375, 19.376953
3.89892, -0.345703, -4.15625, 30.238281, 0.011799, -0.03325, -0.991428, 33.681641, -12.390625, 19.107422
3.920596, -0.318359, -4.355469, 30.236328, 0.008777, -0.029831, -0.991233, 33.695313, -12.3125, 18.894531
3.953721, -0.332031, -4.265625, 30.207031, 0.005854, -0.031037, -0.990868, 33.765625, -11.972656, 19.019531
3.976918, -0.289063, -3.984375, 29.892578, 0.003746, -0.035958, -0.990469, 33.775391, -11.703125, 18.648438
3.999117, -0.273438, -3.800781, 29.738281, 0.0033, -0.040881, -0.990274, 33.775391, -11.589844, 18.570313
4.021256, -0.244141, -3.617188, 29.634766, 0.002794, -0.044922, -0.990149, 33.794922, -11.480469, 18.564453
4.054801, -0.271484, -3.421875, 29.498047, 0.001769, -0.04777, -0.989972, 33.775391, -11.320313, 18.490234
4.077237, -0.277344, -3.199219, 29.404297, 0.000067, -0.051615, -0.989632, 33.744141, -11.144531, 18.378906
4.099401, -0.261719, -3.183594, 29.414063, -0.000878, -0.05322, -0.989493, 33.730469, -11.101563, 18.384766
4.121679, -0.251953, -3.191406, 29.398438, -0.001818, -0.053895, -0.989414, 33.757813, -11.066406, 18.363281
4.144713, -0.214844, -3.09375, 29.404297, -0.002407, -0.053895, -0.98935, 33.755859, -11.023438, 18.291016
4.17895, -0.185547, -3.054688, 29.380859, -0.002959, -0.053917, -0.989232, 33.777344, -10.941406, 18.238281
4.200604, -0.169922, -3.015625, 29.382813, -0.00316, -0.054627, -0.989165, 33.769531, -10.898438, 18.222656
4.223601, -0.183594, -3.015625, 29.386719, -0.003449, -0.054152, -0.989241, 33.775391, -10.886719, 18.21875
4.245337, -0.197266, -3.046875, 29.382813, -0.003603, -0.052307, -0.989384, 33.800781, -10.914063, 18.199219
4.279006, -0.183594, -3.144531, 29.378906, -0.004102, -0.050617, -0.989437, 33.808594, -10.945313, 18.222656
4.30115, -0.199219, -3.199219, 29.466797, -0.003287, -0.0502, -0.98953, 33.808594, -11.03125, 18.353516
4.322831, -0.195313, -3.242188, 29.416016, -0.002393, -0.050309, -0.989546, 33.837891, -11.070313, 18.375
4.345925, -0.216797, -3.257813, 29.449219, -0.000915, -0.049996, -0.989622, 33.830078, -11.144531, 18.466797
4.378976, -0.261719, -3.320313, 29.429688, 0.00101, -0.050456, -0.989565, 33.826172, -11.21875, 18.574219
4.401274, -0.273438, -3.378906, 29.451172, 0.002943, -0.05116, -0.98966, 33.826172, -11.339844, 18.699219
4.423777, -0.308594, -3.449219, 29.423828, 0.00429, -0.051249, -0.98973, 33.830078, -11.433594, 18.761719
4.445839, -0.333984, -3.519531, 29.435547, 0.005859, -0.049973, -0.989877, 33.832031, -11.519531, 18.861328
4.470666, -0.369141, -3.589844, 29.441406, 0.007813, -0.048416, -0.990072, 33.822266, -11.617188, 18.958984
4.500682, -0.367188, -3.640625, 29.484375, 0.00978, -0.048157, -0.990162, 33.839844, -11.734375, 19.066406
4.522659, -0.365234, -3.742188, 29.537109, 0.011674, -0.04756, -0.990272, 33.859375, -11.902344, 19.216797
4.545673, -0.398438, -3.882813, 29.572266, 0.013328, -0.047638, -0.990284, 33.873047, -12.003906, 19.365234
4.5792, -0.402344, -4.003906, 29.658203, 0.015221, -0.04838, -0.990179, 33.914063, -12.117188, 19.566406
4.602113, 0.849609, -4.761719, 25.976563, 0.018574, -0.044099, -0.990764, 35.197266, -13.015625, 16.001953
4.623913, 1.298828, -5.109375, 24.925781, 0.020512, -0.041991, -0.990978, 35.638672, -13.460938, 15.015625
4.646488, 1.384766, -5.277344, 24.931641, 0.022107, -0.040656, -0.991153, 35.71875, -13.652344, 15.037109
4.679942, 1.597656, -5.449219, 24.548828, 0.023208, -0.041301, -0.991267, 35.925781, -13.886719, 14.699219
4.702562, 1.751953, -5.683594, 24.791016, 0.024762, -0.036546, -0.991692, 36.025391, -14.214844, 14.90625
4.724812, 1.599609, -5.8125, 25.652344, 0.025746, -0.033371, -0.991998, 35.861328, -14.347656, 15.736328
4.75949, 1.763672, -5.828125, 25.822266, 0.026987, -0.03187, -0.992423, 35.966797, -14.546875, 15.847656
4.775207, 1.728516, -6.101563, 26.734375, 0.028635, -0.025497, -0.992938, 35.904297, -14.886719, 16.666016
4.802349, 1.681641, -5.980469, 27.619141, 0.028728, -0.028223, -0.993213, 35.791016, -15.039063, 17.488281
4.824553, 1.822266, -5.996094, 28.126953, 0.030846, -0.028084, -0.993702, 35.890625, -15.335938, 17.994141
4.846578, 2.109375, -5.914063, 28.587891, 0.033913, -0.026104, -0.994277, 36.080078, -15.644531, 18.410156
4.86924, 2.259766, -5.8125, 30.052734, 0.03768, -0.025971, -0.994803, 36.083984, -16.015625, 19.738281
4.902923, 2.769531, -5.621094, 32.236328, 0.039297, -0.034329, -0.995562, 36.328125, -16.527344, 21.771484
4.925689, 3.333984, -5.457031, 34.066406, 0.037489, -0.037289, -0.996532, 36.501953, -17.175781, 23.224609
4.947369, 4.144531, -5.152344, 35.382813, 0.035548, -0.030024, -0.997591, 36.921875, -17.785156, 24.080078
4.969405, 4.998047, -4.796875, 37.253906, 0.031366, -0.019664, -0.998608, 37.246094, -18.453125, 25.458984
5.002766, 6.630859, -4.160156, 40.146484, 0.017711, -0.018665, -0.99955, 37.929688, -19.382813, 27.150391
5.025635, 7.951172, -3.472656, 42.431641, -0.002512, 0.024754, 0.99968, 38.408203, -20.042969, 28.533203
5.047745, 9.626953, -2.882813, 44.355469, 0.017431, 0.027969, 0.999174, 39.125, -20.765625, 29.458984
5.070037, 11.572266, -2.175781, 46.509766, 0.036044, 0.028776, 0.997947, 39.84375, -21.46875, 30.638672
5.103904, 14.976563, -1.011719, 49.365234, 0.055082, 0.025308, 0.994735, 41.0625, -22.492188, 32.087891
5.125941, 17.585938, -0.09375, 51.121094, 0.070944, 0.023512, 0.991148, 41.869141, -23.105469, 32.966797
5.148972, 20.435547, 1.019531, 52.640625, 0.089516, 0.023456, 0.986141, 42.720703, -23.542969, 33.833984
5.171119, 23.384766, 2.269531, 54.033203, 0.10981, 0.026601, 0.979693, 43.529297, -23.90625, 34.728516
5.195111, 26.632813, 3.496094, 55.099609, 0.129469, 0.030385, 0.971371, 44.419922, -24.140625, 35.601563
5.229783, 31.638672, 5.300781, 56.5, 0.15325, 0.033713, 0.957586, 45.708984, -24.320313, 36.767578
5.249509, 34.361328, 6.335938, 57.138672, 0.168716, 0.039415, 0.948408, 46.410156, -24.164063, 37.509766
5.271666, 37.556641, 7.578125, 57.730469, 0.186368, 0.055072, 0.936513, 47.375, -24.015625, 38.439453
5.294884, 40.734375, 8.792969, 57.783203, 0.203461, 0.076002, 0.923563, 48.541016, -23.695313, 39.570313
5.327918, 45.316406, 10.484375, 57.888672, 0.230375, 0.112675, 0.904696, 50.804688, -23.144531, 41.255859
5.34962, 48.263672, 11.671875, 57.931641, 0.253669, 0.143227, 0.890544, 52.662109, -22.710938, 42.578125
5.371994, 51.251953, 12.507813, 57.726563, 0.277354, 0.176756, 0.874972, 54.789063, -22.507813, 43.691406
5.39483, 54.314453, 13.355469, 57.392578, 0.302323, 0.215386, 0.857356, 57.136719, -22.253906, 44.771484
5.428518, 58.519531, 14.75, 56.662109, 0.335885, 0.273844, 0.828458, 60.677734, -21.597656, 46.023438
5.450597, 61.144531, 15.589844, 55.933594, 0.353929, 0.304905, 0.809802, 62.982422, -21.191406, 46.697266
5.473, 63.617188, 16.332031, 55.140625, 0.370846, 0.331372, 0.791558, 65.28125, -20.808594, 47.269531
5.495327, 65.951172, 16.773438, 54.298828, 0.386164, 0.355759, 0.773285, 67.482422, -20.613281, 47.511719
5.52896, 69.082031, 17.601563, 52.925781, 0.407419, 0.393829, 0.743781, 70.541016, -20.136719, 47.644531
5.55119, 70.925781, 17.792969, 52.197266, 0.419767, 0.412886, 0.725759, 72.376953, -20.125, 47.5625
5.573665, 72.521484, 17.980469, 51.443359, 0.430031, 0.42775, 0.709744, 74.072266, -20.003906, 47.591797
5.595726, 74.003906, 18.097656, 50.595703, 0.439089, 0.439339, 0.695452, 75.611328, -19.980469, 47.462891
5.629531, 75.789063, 18.78125, 49.001953, 0.446567, 0.463767, 0.670539, 77.701172, -19.4375, 47.208984
5.65285, 76.703125, 19.359375, 48.066406, 0.450058, 0.483486, 0.64994, 79.007813, -18.972656, 47.105469
5.674803, 77.369141, 19.878906, 47.115234, 0.452086, 0.50014, 0.632542, 80.015625, -18.515625, 47.064453
5.697978, 78.001953, 20.195313, 46.082031, 0.453962, 0.514531, 0.618878, 80.892578, -18.105469, 46.914063
5.719393, 78.462891, 20.460938, 45.154297, 0.454738, 0.528044, 0.606895, 81.533203, -17.753906, 46.859375
5.753462, 78.931641, 21.023438, 43.673828, 0.45069, 0.55048, 0.584274, 82.052734, -17.050781, 46.982422
5.776017, 79.152344, 21.324219, 42.712891, 0.445596, 0.561723, 0.568047, 82.134766, -16.628906, 47.166016
5.79785, 79.097656, 21.535156, 41.839844, 0.435115, 0.567264, 0.559903, 82.035156, -16.25, 47.3125
5.819895, 78.873047, 21.726563, 41.167969, 0.421736, 0.569605, 0.556433, 81.683594, -15.847656, 47.625
5.854008, 78.134766, 21.992188, 40.330078, 0.402411, 0.56824, 0.555962, 80.525391, -15.320313, 48.169922
5.876032, 77.464844, 22.03125, 40.207031, 0.394577, 0.564414, 0.552705, 79.324219, -15.160156, 48.611328
5.898464, 76.519531, 22.105469, 40.103516, 0.382312, 0.55736, 0.552565, 77.771484, -14.945313, 49.052734
